Population,Town
1295,"Belturbet, Cavan"
1296,"Kinnegad, Westmeath"
1307,"Kingscourt, Cavan"
1325,"Callan, Kilkenny"
1327,"Sixmilebridge, Clare"
1329,"Ballybunion, Kerry"
1331,"Mountrath, Laois"
1342,"Annacotty, Limerick"
1343,"Castleconnell, Limerick"
1355,"Clifden, Galway"
1356,"Ashford, Wicklow"
1359,"Killorglin, Kerry"
1361,"Bunclody-Carrickduff, Carlow and Wexford"
1362,"Kilmallock, Limerick"
1362,"Rathkeale, Limerick"
1373,"Crosshaven, Cork"
1381,"Ballyhaunis, Mayo"
1382,"Rochfortbridge, Westmeath"
1383,"Abbeyleix, Laois"
1387,"Rathdrum, Wicklow"
1388,"Bunbeg-Derrybeg, Donegal"
1388,"Fethard, Tipperary South"
1395,"Lifford, Donegal"
1396,"Killybegs, Donegal"
1411,"Carrigtwohill, Cork"
1416,"Ballaghaderreen, Roscommon"
1435,"Graiguenamanagh- Tinnahinch, Carlow and Kilkenny"
1441,"Rathnew, Wicklow"
1465,"Moville, Donegal"
1482,"Castlecomer-Donaguile, Kilkenny"
1483,"Kilcullen, Kildare"
1496,"Newmarket-on-Fergus, Clare"
1497,"Swinford, Mayo"
1520,"Moate, Westmeath"
1523,"Prosperous, Kildare"
1532,"Dunmanway, Cork"
1538,"Athboy, Meath"
1553,"Banagher, Offaly"
1600,"Thomastown, Kilkenny"
1626,"Ballinrobe, Mayo"
1651,"Kanturk, Cork"
1660,"Bailieborough, Cavan"
1673,"Carndonagh, Donegal"
1683,"Abbeyfeale, Limerick"
1692,"Oranmore, Galway"
1726,"Portrane, Fingal"
1744,"Cootehill, Cavan"
1750,"Dunmore East, Waterford"
1776,"Gort, Galway"
1811,"Rathangan, Kildare"
1842,"Bundoran Town, Donegal"
1844,"Kenmare, Kerry"
1904,"Enniskerry, Wicklow"
1947,"Clones Town, Monaghan"
2000,"Skibbereen Town, Cork"
2101,"Claremorris, Mayo"
2110,"Kinsealy-Drinan, Fingal"
2146,"Blarney, Cork"
2154,"Athenry, Galway"
2162,"Castleisland, Kerry"
2173,"Duleek, Meath"
2205,"Boyle, Roscommon"
2237,"Carrick-on-Shannon, Leitrim and Roscommon"
2246,"Kill, Kildare"
2270,"Templemore Town, Tipperary North"
2417,"Tullow, Carlow"
2453,"Donegal, Donegal"
2456,"Lusk, Fingal"
2499,"Rathcoole, South Dublin"
2509,"Blessington, Wicklow"
2521,"Newtownmountkennedy, Wicklow"
2583,"Monasterevin, Kildare"
2689,"Castlerea, Roscommon"
2699,"Kilrush Town, Clare"
2704,"Clara, Offaly"
2715,"Ballyshannon, Donegal"
2728,"Muinebeag (formerly Bagenalstown), Carlow"
2740,"Kilcock, Kildare"
2770,"Cashel Town, Tipperary South"
2794,"Cahir, Tipperary South"
2826,"Kilcoole, Wicklow"
2922,"Sallins, Kildare"
2936,"Castleblayney Town, Monaghan"
2985,"Macroom Town, Cork"
2993,"Dungiven, Limavady, Londonderry"
3032,"Tower, Cork"
3050,"Tandragee, Armagh"
3055,"Ahoghill, Ballymenantrim"
3063,"Dunshaughlin, Meath"
3150,"Bantry, Cork"
3165,"Eglinton, Derry, Londonderry"
3300,"Mitchelstown, Cork"
3359,"Mountmellick, Laois"
3400,"Hillsborough, Lisburn, Down"
3554,"Kinsale Town, Cork"
3603,"Ballybofey-Stranorlar, Donegal"
3682,"Moira, Lisburn, Down"
3698,"Clonakilty Town, Cork"
3702,"Whitehead, Carrickfergus, Antrim"
3711,"Magherafelt, Londonderry"
3794,"Ratoath, Meath"
3832,"Carrickmacross Town, Monaghan"
3854,"Donabate, Fingal"
3948,"Ardee, Louth"
3999,"Listowel Town, Kerry"
4001,"Portarlington, Laois and Offaly"
4004,"Loughrea, Galway"
4017,"Newcastle West, Limerick"
4259,"Crumlin, Antrim"
4417,"Clane, Kildare"
4421,"Ceannanus Mór (formerly Kells) Town, Meath"
4436,"Birr, Offaly"
4489,"Roscommon, Roscommon"
4559,"Edenderry, Offaly"
4578,"Roscrea, Tipperary North"
4595,"Passage West, Cork"
4804,"Fermoy Town, Cork"
4917,"Coalislandungannon, Tyrone"
4956,"Randalstown, Antrim"
4964,"Tipperary Town, Tipperary South"
4968,"Dromore, Banbridge, Down"
5050,"Greenisland, Carrickfergus, Antrim"
5051,"Bandon, Cork"
5089,"Ballycastle, Moyle, Antrim"
5271,"Buncrana Town, Donegal"
5281,"Dingle, Kerry"
5282,"Gorey, Wexford"
5363,"Dunboyne, Meath"
5364,"Ballynahinch, Down"
5586,"Carrick-on-Suir Town, Tipperary South"
5597,"Laytown-Bettystown-Mornington, Meath"
5634,"Westport, Mayo"
5694,"Kildare, Kildare"
5847,"Tuam, Galway"
5894,"Trim Town, Meath"
5936,"Monaghan Town, Monaghan"
6049,"Athy Town, Kildare"
6098,"Cavan Town, Cavan"
6129,"Ballinasloe Town, Galway"
6338,"Kilkeel, Newry and Mourne, Down"
6362,"Ashbourne, Meath"
6372,"Portrush, Coleraine, Antrim"
6454,"Nenagh Town, Tipperary North"
6470,"Donaghadee, Ards, Down"
6537,"New Ross Town, Wexford"
6577,"Youghal, Cork"
6595,"Carryduff, Castlereagh, Down"
6685,"Rathluirc (or Charleville), Cork"
6769,"Rush, Fingal"
7000,"Warrenpoint, Newry and Mourne, Down"
7425,"Thurles Town, Tipperary North"
7444,"Newcastle, Down"
7452,"Dungarvan Town, Waterford"
7557,"Longford Town, Longford"
7803,"Portstewart, Coleraine, Londonderry"
7957,"Midleton Town, Cork"
8115,"Tramore, Waterford"
8228,"Shannon, Clare"
8372,"Magherafelt, Londonderry"
8376,"Portmarnock, Fingal"
8770,"Ballyclare, Newtownabbey, Antrim"
8933,"Comber, Ards, Down"
8937,"Mallow Town, Cork"
8964,"Enniscorthy Town, Wexford"
9021,"Ballymoney, Antrim"
9149,"Skerries, Fingal"
9355,"Wicklow Town, Wicklow"
9647,"Ballina, Mayo"
9801,"Cobh Town, Cork"
9993,"Arklow Town, Wicklow"
10151,"Maynooth, Kildare"
10234,"Cahersiveen, Kerry"
10294,"Balbriggan, Fingal, Dublin"
10316,"Downpatrick, Down"
10646,"Cookstown, Tyrone"
11098,"Tullamore Town, Offaly"
11139,"Dungannon, Tyrone"
11191,"Carrigaline, Cork"
11371,"Castlebar Town, Mayo"
11913,"Greystones, Wicklow"
12037,"Holywood, North Down"
12135,"Limavady, Londonderry"
13456,"Strabane, Tyrone"
13599,"Enniskillen, Fermanagh"
13826,"Malahide, Fingal"
14590,"Armagh"
14744,"Banbridge, Down"
15016,"Leixlip, Kildare"
15037,"Portlaoise (formerly Maryborough), Laois"
15231,"Letterkenny Town, Donegal"
